fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
23/01/2021,2021,enero 2021,23,9931,7316,2615,2394,1896,498,7537,5420,2117
24/01/2021,2021,enero 2021,24,9893,7288,2605,2396,1890,506,7497,5398,2099
25/01/2021,2021,enero 2021,25,9866,7285,2581,2392,1880,512,7474,5405,2069
26/01/2021,2021,enero 2021,26,9897,7257,2640,2375,1846,529,7522,5411,2111
27/01/2021,2021,enero 2021,27,9806,7207,2599,2324,1824,500,7482,5383,2099
28/01/2021,2021,enero 2021,28,9851,7244,2607,2349,1828,521,7502,5416,2086
29/01/2021,2021,enero 2021,29,9846,7210,2636,2397,1871,526,7449,5339,2110
30/01/2021,2021,enero 2021,30,9703,7124,2579,2361,1859,502,7342,5265,2077
31/01/2021,2021,enero 2021,31,9578,7016,2562,2323,1835,488,7255,5181,2074
01/02/2021,2021,febrero 2021,1,9545,6999,2546,2318,1845,473,7227,5154,2073
02/02/2021,2021,febrero 2021,2,9236,6788,2448,2255,1802,453,6981,4986,1995
03/02/2021,2021,febrero 2021,3,9216,6760,2456,2255,1801,454,6961,4959,2002
04/02/2021,2021,febrero 2021,4,9045,6638,2407,2268,1790,478,6777,4848,1929
05/02/2021,2021,febrero 2021,5,8861,6505,2356,2257,1767,490,6604,4738,1866
06/02/2021,2021,febrero 2021,6,8724,6441,2283,2246,1769,477,6478,4672,1806
07/02/2021,2021,febrero 2021,7,8566,6384,2182,2187,1723,464,6379,4661,1718
08/02/2021,2021,febrero 2021,8,8344,6228,2116,2124,1678,446,6220,4550,1670
09/02/2021,2021,febrero 2021,9,8268,6158,2110,2091,1675,416,6177,4483,1694
10/02/2021,2021,febrero 2021,10,8093,6043,2050,2010,1630,380,6083,4413,1670
11/02/2021,2021,febrero 2021,11,7873,5860,2013,2031,1638,393,5842,4222,1620
12/02/2021,2021,febrero 2021,12,7642,5692,1950,1996,1607,389,5646,4085,1561
13/02/2021,2021,febrero 2021,13,7485,5575,1910,1976,1592,384,5509,3983,1526
14/02/2021,2021,febrero 2021,14,7343,5481,1862,1922,1562,360,5421,3919,1502
15/02/2021,2021,febrero 2021,15,7191,5369,1822,1890,1525,365,5301,3844,1457
16/02/2021,2021,febrero 2021,16,7058,5256,1802,1836,1484,352,5222,3772,1450
17/02/2021,2021,febrero 2021,17,6898,5118,1780,1816,1483,333,5082,3635,1447
18/02/2021,2021,febrero 2021,18,6816,5059,1757,1814,1489,325,5002,3570,1432
19/02/2021,2021,febrero 2021,19,6667,4972,1695,1780,1461,319,4887,3511,1376
20/02/2021,2021,febrero 2021,20,6561,4914,1647,1738,1431,307,4823,3483,1340
21/02/2021,2021,febrero 2021,21,6493,4838,1655,1729,1432,297,4764,3406,1358
22/02/2021,2021,febrero 2021,22,6362,4759,1603,1691,1408,283,4671,3351,1320
23/02/2021,2021,febrero 2021,23,6288,4688,1600,1699,1408,291,4589,3280,1309
24/02/2021,2021,febrero 2021,24,6244,4645,1599,1677,1372,305,4567,3273,1294
25/02/2021,2021,febrero 2021,25,6195,4593,1602,1660,1361,299,4535,3232,1303
26/02/2021,2021,febrero 2021,26,6112,4548,1564,1669,1372,297,4443,3176,1267
27/02/2021,2021,febrero 2021,27,5891,4391,1500,1630,1340,290,4261,3051,1210
28/02/2021,2021,febrero 2021,28,5868,4371,1497,1598,1313,285,4270,3058,1212
01/03/2021,2021,marzo 2021,1,5788,4333,1455,1561,1299,262,4227,3034,1193
02/03/2021,2021,marzo 2021,2,5793,4317,1476,1576,1301,275,4217,3016,1201
03/03/2021,2021,marzo 2021,3,5799,4351,1448,1603,1326,277,4196,3025,1171
04/03/2021,2021,marzo 2021,4,5821,4384,1437,1610,1341,269,4211,3043,1168
05/03/2021,2021,marzo 2021,5,5791,4366,1425,1622,1349,273,4169,3017,1152
06/03/2021,2021,marzo 2021,6,5685,4255,1430,1557,1290,267,4128,2965,1163
07/03/2021,2021,marzo 2021,7,5605,4213,1392,1556,1279,277,4049,2934,1115
08/03/2021,2021,marzo 2021,8,5576,4200,1376,1503,1243,260,4073,2957,1116
09/03/2021,2021,marzo 2021,9,5571,4174,1397,1483,1216,267,4088,2958,1130
10/03/2021,2021,marzo 2021,10,5459,4100,1359,1508,1227,281,3951,2873,1078
11/03/2021,2021,marzo 2021,11,5388,4049,1339,1487,1221,266,3901,2828,1073
12/03/2021,2021,marzo 2021,12,5220,3916,1304,1470,1192,278,3750,2724,1026
13/03/2021,2021,marzo 2021,13,5120,3870,1250,1444,1184,260,3676,2686,990
14/03/2021,2021,marzo 2021,14,5005,3764,1241,1405,1146,259,3600,2618,982
15/03/2021,2021,marzo 2021,15,4985,3743,1242,1426,1169,257,3559,2574,985
16/03/2021,2021,marzo 2021,16,4862,3695,1167,1423,1163,260,3439,2532,907
17/03/2021,2021,marzo 2021,17,4847,3667,1180,1404,1150,254,3443,2517,926
18/03/2021,2021,marzo 2021,18,4786,3649,1137,1396,1150,246,3390,2499,891
19/03/2021,2021,marzo 2021,19,4693,3551,1142,1374,1134,240,3319,2417,902
20/03/2021,2021,marzo 2021,20,4558,3458,1100,1357,1109,248,3201,2349,852
21/03/2021,2021,marzo 2021,21,4442,3379,1063,1315,1089,226,3127,2290,837
22/03/2021,2021,marzo 2021,22,4365,3344,1021,1293,1074,219,3072,2270,802
23/03/2021,2021,marzo 2021,23,4337,3306,1031,1265,1050,215,3072,2256,816
24/03/2021,2021,marzo 2021,24,4298,3227,1071,1265,1031,234,3033,2196,837
25/03/2021,2021,marzo 2021,25,4182,3137,1045,1196,973,223,2986,2164,822
26/03/2021,2021,marzo 2021,26,4146,3107,1039,1226,997,229,2920,2110,810
27/03/2021,2021,marzo 2021,27,4088,3070,1018,1209,990,219,2979,2080,799
28/03/2021,2021,marzo 2021,28,4015,3015,1000,1193,984,209,2822,2031,791
29/03/2021,2021,marzo 2021,29,3967,2991,976,1166,954,212,2801,2037,764
30/03/2021,2021,marzo 2021,30,3925,2939,986,1177,951,226,2748,1988,760
31/03/2021,2021,marzo 2021,31,3860,2907,953,1162,942,220,2698,1965,733
01/04/2021,2021,abril 2021,1,3741,2830,911,1124,916,208,2617,1914,703
02/04/2021,2021,abril 2021,2,3686,2778,908,1080,887,193,2606,1891,715
03/04/2021,2021,abril 2021,3,3631,2727,904,1074,883,191,2557,1844,713
04/04/2021,2021,abril 2021,4,3557,2663,894,1057,862,195,2500,1801,699
05/04/2021,2021,abril 2021,5,3534,2630,904,1059,863,196,2475,1767,708
06/04/2021,2021,abril 2021,6,3522,2621,901,1037,847,190,2485,1774,711
07/04/2021,2021,abril 2021,7,3434,2562,872,1027,853,174,2407,1709,698
08/04/2021,2021,abril 2021,8,3383,2525,858,1039,851,188,2344,1674,670
09/04/2021,2021,abril 2021,9,3326,2483,843,1025,835,190,2301,1648,653
10/04/2021,2021,abril 2021,10,3288,2441,847,1020,827,193,2268,1614,654
11/04/2021,2021,abril 2021,11,3291,2433,858,1017,817,200,2274,1616,658
12/04/2021,2021,abril 2021,12,3265,2419,846,997,810,187,2268,1609,659
13/04/2021,2021,abril 2021,13,3264,2402,862,992,813,179,2272,1589,683
14/04/2021,2021,abril 2021,14,3244,2404,840,985,812,173,2259,1592,667
15/04/2021,2021,abril 2021,15,3153,2323,830,960,787,173,2193,1536,657
16/04/2021,2021,abril 2021,16,3066,2277,789,946,763,183,2120,1514,606
17/04/2021,2021,abril 2021,17,3001,2214,787,919,740,179,2082,1474,608
18/04/2021,2021,abril 2021,18,2947,2184,763,913,738,175,2034,1446,588
19/04/2021,2021,abril 2021,19,2936,2174,762,913,740,173,2023,1434,589
20/04/2021,2021,abril 2021,20,2890,2181,709,893,731,162,1997,1450,547
21/04/2021,2021,abril 2021,21,2832,2144,688,888,741,147,1944,1403,541
22/04/2021,2021,abril 2021,22,2764,2118,646,864,725,139,1900,1393,507
23/04/2021,2021,abril 2021,23,2685,2059,626,836,702,134,1849,1357,492
24/04/2021,2021,abril 2021,24,2556,1966,590,801,679,122,1755,1287,468
25/04/2021,2021,abril 2021,25,2499,1914,585,774,658,116,1725,1256,469
26/04/2021,2021,abril 2021,26,2387,1844,543,758,640,118,1629,1204,425
27/04/2021,2021,abril 2021,27,2347,1797,550,727,614,113,1620,1183,437
28/04/2021,2021,abril 2021,28,2267,1739,528,714,602,112,1553,1137,416
29/04/2021,2021,abril 2021,29,2188,1681,507,668,562,106,1520,1119,401
30/04/2021,2021,abril 2021,30,2109,1614,495,652,541,111,1457,1073,384
01/05/2021,2021,mayo 2021,1,2041,1554,487,644,533,111,1397,1021,376
02/05/2021,2021,mayo 2021,2,2010,1523,487,633,518,115,1377,1005,372
03/05/2021,2021,mayo 2021,3,1981,1498,483,645,529,116,1336,969,367
04/05/2021,2021,mayo 2021,4,1930,1472,458,619,511,108,1311,961,350
05/05/2021,2021,mayo 2021,5,1877,1445,432,621,519,102,1256,926,330
06/05/2021,2021,mayo 2021,6,1806,1404,402,604,512,92,1202,892,310
07/05/2021,2021,mayo 2021,7,1740,1355,385,593,502,91,1147,853,294
08/05/2021,2021,mayo 2021,8,1683,1316,367,586,500,86,1097,816,281
09/05/2021,2021,mayo 2021,9,1648,1305,343,577,494,83,1071,811,260
10/05/2021,2021,mayo 2021,10,1643,1304,339,579,494,85,1064,810,254
11/05/2021,2021,mayo 2021,11,1669,1305,364,563,477,86,1106,828,278
12/05/2021,2021,mayo 2021,12,1624,1265,359,519,443,76,1105,822,283
13/05/2021,2021,mayo 2021,13,1573,1238,335,504,433,71,1069,805,264
14/05/2021,2021,mayo 2021,14,1533,1216,317,497,431,66,1036,785,251
15/05/2021,2021,mayo 2021,15,1474,1163,311,466,402,64,1008,761,247
16/05/2021,2021,mayo 2021,16,1453,1133,320,467,409,58,986,724,262
17/05/2021,2021,mayo 2021,17,1412,1097,315,461,397,64,951,700,251
18/05/2021,2021,mayo 2021,18,1370,1063,307,443,384,59,927,679,248
19/05/2021,2021,mayo 2021,19,1301,998,303,418,359,59,883,639,244
20/05/2021,2021,mayo 2021,20,1245,962,283,408,352,56,837,610,227
21/05/2021,2021,mayo 2021,21,1180,903,277,372,316,56,808,587,221
22/05/2021,2021,mayo 2021,22,1139,864,275,383,322,61,756,542,214
23/05/2021,2021,mayo 2021,23,1101,839,262,368,302,66,733,537,196
24/05/2021,2021,mayo 2021,24,1090,818,272,375,310,65,715,508,207
25/05/2021,2021,mayo 2021,25,1049,791,258,369,303,66,680,488,192
26/05/2021,2021,mayo 2021,26,993,749,244,352,286,66,641,463,178
27/05/2021,2021,mayo 2021,27,1014,759,255,347,282,65,667,477,190
28/05/2021,2021,mayo 2021,28,982,719,263,336,275,61,646,444,202
29/05/2021,2021,mayo 2021,29,921,688,233,314,253,61,607,435,172
30/05/2021,2021,mayo 2021,30,901,664,237,308,250,58,593,414,179
31/05/2021,2021,mayo 2021,31,873,639,234,309,251,58,564,388,176
01/06/2021,2021,junio 2021,1,885,651,234,304,243,61,581,408,173
02/06/2021,2021,junio 2021,2,879,650,229,294,234,60,585,416,169
03/06/2021,2021,junio 2021,3,834,615,219,284,230,54,550,385,165
04/06/2021,2021,junio 2021,4,813,594,219,271,220,51,542,374,168
05/06/2021,2021,junio 2021,5,792,587,205,261,214,47,531,373,158
06/06/2021,2021,junio 2021,6,778,574,204,264,220,44,514,354,160
07/06/2021,2021,junio 2021,7,800,599,201,276,229,47,524,370,154
08/06/2021,2021,junio 2021,8,798,606,192,267,224,43,531,382,149
09/06/2021,2021,junio 2021,9,816,630,186,266,223,43,550,407,143
10/06/2021,2021,junio 2021,10,803,615,188,266,224,42,537,391,146
11/06/2021,2021,junio 2021,11,787,597,190,264,227,37,523,370,153
12/06/2021,2021,junio 2021,12,761,579,182,253,217,36,508,362,146
13/06/2021,2021,junio 2021,13,787,597,190,256,219,37,531,378,153
14/06/2021,2021,junio 2021,14,803,614,189,265,227,38,538,387,151
15/06/2021,2021,junio 2021,15,823,624,199,277,246,31,546,378,168
16/06/2021,2021,junio 2021,16,829,624,205,287,253,34,542,371,171
17/06/2021,2021,junio 2021,17,836,642,194,282,250,32,554,392,162
18/06/2021,2021,junio 2021,18,816,641,175,273,245,28,543,396,147
19/06/2021,2021,junio 2021,19,816,643,173,278,247,31,538,396,142
20/06/2021,2021,junio 2021,20,813,638,175,270,242,28,543,396,147
21/06/2021,2021,junio 2021,21,858,665,193,280,248,32,578,417,161
22/06/2021,2021,junio 2021,22,895,679,216,291,253,38,604,426,178
23/06/2021,2021,junio 2021,23,882,677,205,285,245,40,597,432,165
24/06/2021,2021,junio 2021,24,943,716,227,306,263,43,637,453,184
25/06/2021,2021,junio 2021,25,943,710,233,315,268,47,628,442,186
26/06/2021,2021,junio 2021,26,962,731,231,320,276,44,642,455,187
27/06/2021,2021,junio 2021,27,990,755,235,321,279,42,669,476,193
28/06/2021,2021,junio 2021,28,1031,785,246,324,285,39,707,500,207
29/06/2021,2021,junio 2021,29,1076,810,266,337,300,37,739,510,229
30/06/2021,2021,junio 2021,30,1140,866,274,361,320,41,779,546,233
01/07/2021,2021,julio 2021,1,1158,862,296,352,310,42,806,552,254
02/07/2021,2021,julio 2021,2,1152,863,289,362,317,45,790,546,244
03/07/2021,2021,julio 2021,3,1209,901,308,380,333,47,829,568,261
04/07/2021,2021,julio 2021,4,1249,921,328,378,333,45,871,588,283
05/07/2021,2021,julio 2021,5,1372,1029,343,395,341,54,977,688,289
