fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
08/05/2020,2020,mayo 2020,8,5103,3574,1529,1162,914,248,3941,2660,1281
09/05/2020,2020,mayo 2020,9,5216,3610,1606,1186,918,268,4030,2692,1338
10/05/2020,2020,mayo 2020,10,5400,3767,1633,1197,919,278,4203,2848,1355
11/05/2020,2020,mayo 2020,11,5423,3779,1644,1193,935,258,4230,2844,1386
12/05/2020,2020,mayo 2020,12,5549,3903,1646,1218,961,257,4331,2942,1389
13/05/2020,2020,mayo 2020,13,5649,3964,1685,1254,987,267,4395,2977,1418
14/05/2020,2020,mayo 2020,14,5726,4009,1717,1248,956,292,4478,3053,1425
15/05/2020,2020,mayo 2020,15,5871,4099,1772,1289,974,315,4582,3125,1457
16/05/2020,2020,mayo 2020,16,5970,4159,1811,1295,982,313,4675,3177,1498
17/05/2020,2020,mayo 2020,17,6322,4390,1932,1433,1105,328,4889,3285,1604
18/05/2020,2020,mayo 2020,18,6273,4371,1902,1433,1107,326,4840,3264,1576
19/05/2020,2020,mayo 2020,19,6320,4419,1901,1453,1119,334,4867,3300,1567
20/05/2020,2020,mayo 2020,20,6425,4540,1885,1429,1111,318,4996,3429,1567
21/05/2020,2020,mayo 2020,21,6406,4533,1873,1446,1090,356,4960,3443,1517
22/05/2020,2020,mayo 2020,22,6457,4573,1884,1439,1077,362,5018,3496,1522
23/05/2020,2020,mayo 2020,23,6359,4490,1869,1493,1123,370,4866,3367,1499
24/05/2020,2020,mayo 2020,24,6335,4458,1877,1457,1097,360,4878,3361,1517
25/05/2020,2020,mayo 2020,25,6272,4414,1858,1455,1074,381,4817,3340,1477
26/05/2020,2020,mayo 2020,26,6340,4478,1862,1444,1076,368,4896,3402,1494
27/05/2020,2020,mayo 2020,27,6281,4420,1861,1407,1060,347,4874,3360,1514
